Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand ZFIN ID,Receptor ZFIN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Ligand Location,Receptor Location
CDB15:0000237,ccl38.6 si:cabz01093077.1,ccl38.6,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.6%20si:cabz01093077.1-based-on-Pubmed-ID-15207250-in-zebrafish,"ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, CCL38af), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, CCL-chr20b), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, Dr20_WGA1544_1_380308), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, dr-chr20-CCL7-35.6-DN), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, si:dkeyp-59a8.1), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, wu:fj16d01)",si:cabz01093077.1,ZDB-GENE-041014-165,ZDB-GENE-160113-45,ENSDARG00000041923,ENSDARG00000105467,secreted,cell membrane
CDB15:0000239,ccl38.6 ccr11.1,ccl38.6,ccr11.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.6%20ccr11.1-based-on-Pubmed-ID-10477718-in-zebrafish,"ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, CCL38af), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, CCL-chr20b), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, Dr20_WGA1544_1_380308), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, dr-chr20-CCL7-35.6-DN), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, si:dkeyp-59a8.1), ccl38.6 (chemokine (C-C motif) ligand 38, duplicate 6, wu:fj16d01)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-041014-165,ZDB-GENE-070302-5,ENSDARG00000041923,ENSDARG00000070755,secreted,cell membrane
CDB15:0000244,ccl35.1 ccr11.1,ccl35.1,ccr11.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20ccr11.1-based-on-Pubmed-ID-11734558-in-zebrafish,"ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-081022-33,ZDB-GENE-070302-5,ENSDARG00000103466,ENSDARG00000070755,secreted,cell membrane
CDB15:0000245,ccl35.2 ackr2,ccl35.2,ackr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.2%20ackr2-based-on-Pubmed-ID-9405404-in-zebrafish,"ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL35ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL-chr25ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, Dr25_WGA1872_1_197377), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, DrUn_WGA2406_1_18581)",ackr2,ZDB-GENE-140718-1,#N/A,ENSDARG00000070378,ENSDARG00000086314,secreted,cell membrane
CDB15:0000246,ccl35.1 si:cabz01093077.1,ccl35.1,si:cabz01093077.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20si:cabz01093077.1-based-on-Pubmed-ID-11170631,%2012381680,%209624164-in-zebrafish","ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",si:cabz01093077.1,ZDB-GENE-081022-33,ZDB-GENE-160113-45,ENSDARG00000103466,ENSDARG00000105467,secreted,cell membrane
CDB15:0000249,ccl35.1 ccr11.1,ccl35.1,ccr11.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20ccr11.1-based-on-Pubmed-ID-10477718,%2011170631,%2011700073,%208663314-in-zebrafish","ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-081022-33,ZDB-GENE-070302-5,ENSDARG00000103466,ENSDARG00000070755,secreted,cell membrane
CDB15:0000250,ccl35.1 ackr2,ccl35.1,ackr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20ackr2-based-on-Pubmed-ID-9405404-in-zebrafish,"ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",ackr2,ZDB-GENE-081022-33,#N/A,ENSDARG00000103466,ENSDARG00000086314,secreted,cell membrane
CDB15:0000251,ccl35.2 si:cabz01093077.1,ccl35.2,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.2%20si:cabz01093077.1-based-on-Pubmed-ID-12381680-in-zebrafish,"ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL35ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL-chr25ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, Dr25_WGA1872_1_197377), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, DrUn_WGA2406_1_18581)",si:cabz01093077.1,ZDB-GENE-140718-1,ZDB-GENE-160113-45,ENSDARG00000070378,ENSDARG00000105467,secreted,cell membrane
CDB15:0000252,ccl35.2 si:cabz01093077.1,ccl35.2,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.2%20si:cabz01093077.1-based-on-Pubmed-ID-7622448-in-zebrafish,"ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL35ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL-chr25ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, Dr25_WGA1872_1_197377), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, DrUn_WGA2406_1_18581)",si:cabz01093077.1,ZDB-GENE-140718-1,ZDB-GENE-160113-45,ENSDARG00000070378,ENSDARG00000105467,secreted,cell membrane
CDB15:0000253,ccl35.2 ccr11.1,ccl35.2,ccr11.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.2%20ccr11.1-based-on-Pubmed-ID-12427015,%2016298345,%208663314-in-zebrafish","ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL35ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL-chr25ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, Dr25_WGA1872_1_197377), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, DrUn_WGA2406_1_18581)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-140718-1,ZDB-GENE-070302-5,ENSDARG00000070378,ENSDARG00000070755,secreted,cell membrane
CDB15:0000254,ccl35.2 si:cabz01093077.1,ccl35.2,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.2%20si:cabz01093077.1-based-on-Pubmed-ID-9521068-in-zebrafish,"ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL35ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, CCL-chr25ab), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, Dr25_WGA1872_1_197377), ccl35.2 (chemokine (C-C motif) ligand 35, duplicate 2, DrUn_WGA2406_1_18581)",si:cabz01093077.1,ZDB-GENE-140718-1,ZDB-GENE-160113-45,ENSDARG00000070378,ENSDARG00000105467,secreted,cell membrane
CDB15:0000255,ccl35.1 ackr2,ccl35.1,ackr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20ackr2-based-on-Pubmed-ID-25297873,%209405404-in-zebrafish","ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",ackr2,ZDB-GENE-081022-33,#N/A,ENSDARG00000103466,ENSDARG00000086314,secreted,cell membrane
CDB15:0000256,ccl35.1 si:cabz01093077.1,ccl35.1,si:cabz01093077.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20si:cabz01093077.1-based-on-Pubmed-ID-11116158,%2012270118,%2014637022,%209289016,%209624164-in-zebrafish","ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",si:cabz01093077.1,ZDB-GENE-081022-33,ZDB-GENE-160113-45,ENSDARG00000103466,ENSDARG00000105467,secreted,cell membrane
CDB15:0000257,ccl35.1 si:cabz01093077.1,ccl35.1,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20si:cabz01093077.1-based-on-Pubmed-ID-8642344-in-zebrafish,"ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",si:cabz01093077.1,ZDB-GENE-081022-33,ZDB-GENE-160113-45,ENSDARG00000103466,ENSDARG00000105467,secreted,cell membrane
CDB15:0000259,ccl35.1 ccr11.1,ccl35.1,ccr11.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20ccr11.1-based-on-Pubmed-ID-10318947,%2010477718,%2011116158,%2011700073,%2014637022,%208663314,%209289016-in-zebrafish","ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-081022-33,ZDB-GENE-070302-5,ENSDARG00000103466,ENSDARG00000070755,secreted,cell membrane
CDB15:0000261,ccl35.1 gpr75,ccl35.1,gpr75,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20gpr75-based-on-Pubmed-ID-17001303-in-zebrafish,"ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)",gpr75,ZDB-GENE-081022-33,ZDB-GENE-100316-3,ENSDARG00000103466,ENSDARG00000098526,secreted,cell membrane
CDB15:0000263,ccl35.1 sdc4,ccl35.1,sdc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl35.1%20sdc4-based-on-Pubmed-ID-14637022-in-zebrafish,"ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL35aa), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, CCL-chr25y), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, Dr1_WGA6_1_97332), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, dr-chr1-CCL26-33.3%-EP26489), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193706), ccl35.1 (chemokine (C-C motif) ligand 35, duplicate 1, zgc:193743)","sdc4 (syndecan 4, sdc4l), sdc4 (syndecan 4, syn4), sdc4 (syndecan 4, wu:fc47g09)",ZDB-GENE-081022-33,ZDB-GENE-061111-1,ENSDARG00000103466,ENSDARG00000059906,secreted,cell membrane
CDB15:0000264,ccl38.1 ackr2,ccl38.1,ackr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20ackr2-based-on-Pubmed-ID-9405404-in-zebrafish,"ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)",ackr2,ZDB-GENE-041014-320,#N/A,ENSDARG00000041919,ENSDARG00000086314,secreted,cell membrane
CDB15:0000265,ccl38.1 ackr4a,ccl38.1,ackr4a,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20ackr4a-based-on-Pubmed-ID-10734104-in-zebrafish,"ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)","ackr4a (atypical chemokine receptor 4a, ccrl1a), ackr4a (atypical chemokine receptor 4a, zfCCRL1-1)",ZDB-GENE-041014-320,ZDB-GENE-070301-6,ENSDARG00000041919,ENSDARG00000078729,secreted,cell membrane
CDB15:0000266,ccl38.1 si:cabz01093077.1,ccl38.1,si:cabz01093077.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20si:cabz01093077.1-based-on-Pubmed-ID-7545673,%208530354-in-zebrafish","ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)",si:cabz01093077.1,ZDB-GENE-041014-320,ZDB-GENE-160113-45,ENSDARG00000041919,ENSDARG00000105467,secreted,cell membrane
CDB15:0000267,ccl38.1 ccr10,ccl38.1,ccr10,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20ccr10-based-on-Pubmed-ID-9364936-in-zebrafish,"ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)","ccr10 (chemokine (C-C motif) receptor 10, zgc:91924)",ZDB-GENE-041014-320,ZDB-GENE-040718-424,ENSDARG00000041919,ENSDARG00000040643,secreted,cell membrane
CDB15:0000268,ccl38.1 ccr11.1,ccl38.1,ccr11.1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20ccr11.1-based-on-Pubmed-ID-12554737,%208530354-in-zebrafish","ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-041014-320,ZDB-GENE-070302-5,ENSDARG00000041919,ENSDARG00000070755,secreted,cell membrane
CDB15:0000269,ccl38.1 si:cabz01093077.1,ccl38.1,si:cabz01093077.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20si:cabz01093077.1-based-on-Pubmed-ID-8642344-in-zebrafish,"ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)",si:cabz01093077.1,ZDB-GENE-041014-320,ZDB-GENE-160113-45,ENSDARG00000041919,ENSDARG00000105467,secreted,cell membrane
CDB15:0000270,ccl38.1 ccr11.1,ccl38.1,ccr11.1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ccl38.1%20ccr11.1-based-on-Pubmed-ID-10477718-in-zebrafish,"ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL38aa), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, CCL-chr20g), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, Dr20_WGA1544_1_1446828), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, dr-chr20-CCL7-40.0%-DN), ccl38.1 (chemokine (C-C motif) ligand 38, duplicate 1, si:dkey-217m5.3)","ccr11.1 (chemokine (C-C motif) receptor 11.1, CCR11aa), ccr11.1 (chemokine (C-C motif) receptor 11.1, chemokine (C-X3-C motif) receptor 1, like), ccr11.1 (chemokine (C-C motif) receptor 11.1, cx3cr1l), ccr11.1 (chemokine (C-C motif) receptor 11.1, dr-chr21-CX3CR1-40.7%-EK41814), ccr11.1 (chemokine (C-C motif) receptor 11.1, zfCCR2-1)",ZDB-GENE-041014-320,ZDB-GENE-070302-5,ENSDARG00000041919,ENSDARG00000070755,secreted,cell membrane
CDB15:0000282,cd34 selp,cd34,selp,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-cd34%20selp-based-on-Pubmed-ID-8977216-in-zebrafish,"cd34 (CD34 molecule, id:ibd2188), cd34 (CD34 molecule, sb:cb187), cd34 (CD34 molecule, si:dkey-261h17.1)","selp (selectin P, si:ch211-260g14.4)",ZDB-GENE-030829-14,ZDB-GENE-110107-2,ENSDARG00000095268,ENSDARG00000042138,cell membrane,cell membrane
CDB15:0000283,cd34 selp,cd34,selp,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-cd34%20selp-based-on-Pubmed-ID-29296932-in-zebrafish,"cd34 (CD34 molecule, id:ibd2188), cd34 (CD34 molecule, sb:cb187), cd34 (CD34 molecule, si:dkey-261h17.1)","selp (selectin P, si:ch211-260g14.4)",ZDB-GENE-030829-14,ZDB-GENE-110107-2,ENSDARG00000095268,ENSDARG00000042138,cell membrane,cell membrane
CDB15:0000284,cd40lg cd40,cd40lg,cd40,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-cd40lg%20cd40-based-on-Pubmed-ID-1374165,%2024189063,%207516405,%207543281-in-zebrafish","cd40lg (CD40 ligand, cd154), cd40lg (CD40 ligand, TNFSF5)","cd40 (CD40 molecule, TNF receptor superfamily member 5, si:ch211-231h20.3), cd40 (CD40 molecule, TNF receptor superfamily member 5, tnfsrf5)",ZDB-GENE-100727-1,ZDB-GENE-090313-95,ENSDARG00000079333,ENSDARG00000054968,"secreted, cell membrane",cell membrane
CDB15:0000285,cd40lg itgam.2,cd40lg,itgam.2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-cd40lg%20itgam.2-based-on-Pubmed-ID-17372166,%2022461623,%2032149455-in-zebrafish","cd40lg (CD40 ligand, cd154), cd40lg (CD40 ligand, TNFSF5)","itgam.2 (integrin, alpha M (complement component 3 receptor 3 subunit), tandem duplicate 2, cd11b), itgam.2 (integrin, alpha M (complement component 3 receptor 3 subunit), tandem duplicate 2, itgam), itgam.2 (integrin, alpha M (complement component 3 receptor 3 subunit), tandem duplicate 2, si:dkey-32n7.5)",ZDB-GENE-100727-1,ZDB-GENE-110510-4,ENSDARG00000079333,ENSDARG00000096587,"secreted, cell membrane",cell membrane
CDB15:0000286,cd40lg itgb2,cd40lg,itgb2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-cd40lg%20itgb2-based-on-Pubmed-ID-17372166,%2022461623-in-zebrafish","cd40lg (CD40 ligand, cd154), cd40lg (CD40 ligand, TNFSF5)","itgb2 (integrin, beta 2, si:dkey-260n18.4)",ZDB-GENE-100727-1,ZDB-GENE-110411-4,ENSDARG00000079333,ENSDARG00000016939,"secreted, cell membrane",cell membrane
CDB15:0000287,rca2.2 adgre5b.3,rca2.2,adgre5b.3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-rca2.2%20adgre5b.3-based-on-Pubmed-ID-12417446,%209064337-in-zebrafish","rca2.2 (regulator of complement activation group 2 gene 2, si:dkey-78k11.2), rca2.2 (regulator of complement activation group 2 gene 2, zrc2)","adgre5b.3 (adhesion G protein-coupled receptor E5b, duplicate 3, Cd97d), adgre5b.3 (adhesion G protein-coupled receptor E5b, duplicate 3, si:ch73-221f6.7)",ZDB-GENE-060503-646,ZDB-GENE-121214-275,ENSDARG00000095512,ENSDARG00000089904,"secreted, cell membrane",cell membrane
