Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XEN ID,Receptor XEN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000576,fgf16 fgfr1,fgf16,fgfr1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf16%20fgfr1-based-on-Pubmed-ID-16597617-in-frog,fgf16 (LOC108698341),"fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-483589,XB-GENE-1018554,ENSXETG00000037314,ENSXETG00000016775,FGF16 (MF4),"FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000577,fgf16 fgfr2,fgf16,fgfr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf16%20fgfr2-based-on-Pubmed-ID-15621532,%2016597617-in-frog",fgf16 (LOC108698341),"fgfr2 (xfgfr2, fgfr-2)",XB-GENE-483589,XB-GENE-1018296,ENSXETG00000037314,ENSXETG00000015592,FGF16 (MF4),"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000578,fgf16 fgfr3,fgf16,fgfr3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf16%20fgfr3-based-on-Pubmed-ID-16597617-in-frog,fgf16 (LOC108698341),"fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-483589,XB-GENE-479255,ENSXETG00000037314,ENSXETG00000002396,FGF16 (MF4),"FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000579,fgf16 fgfr4,fgf16,fgfr4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf16%20fgfr4-based-on-Pubmed-ID-16597617-in-frog,fgf16 (LOC108698341),"fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-483589,XB-GENE-478699,ENSXETG00000037314,ENSXETG00000007231,FGF16 (MF4),"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000580,fgf8 fgfr1,fgf8,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf8%20fgfr1-based-on-Pubmed-ID-10381577,%2016597617-in-frog","fgf8 (fgf-8b, fgf8b, fgf8a, FGF-8, Xfgf8, Xfgf-8, MGC79739, AIGF)","fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-480983,XB-GENE-1018554,ENSXETG00000014474,ENSXETG00000016775,FGF17 (FGF-13),"FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000581,fgf8 fgfr2,fgf8,fgfr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf8%20fgfr2-based-on-Pubmed-ID-10381577,%2016597617-in-frog","fgf8 (fgf-8b, fgf8b, fgf8a, FGF-8, Xfgf8, Xfgf-8, MGC79739, AIGF)","fgfr2 (xfgfr2, fgfr-2)",XB-GENE-480983,XB-GENE-1018296,ENSXETG00000014474,ENSXETG00000015592,FGF17 (FGF-13),"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000582,fgf8 fgfr3,fgf8,fgfr3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf8%20fgfr3-based-on-Pubmed-ID-16597617-in-frog,"fgf8 (fgf-8b, fgf8b, fgf8a, FGF-8, Xfgf8, Xfgf-8, MGC79739, AIGF)","fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-480983,XB-GENE-479255,ENSXETG00000014474,ENSXETG00000002396,FGF17 (FGF-13),"FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000583,fgf8 fgfr4,fgf8,fgfr4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf8%20fgfr4-based-on-Pubmed-ID-16597617-in-frog,"fgf8 (fgf-8b, fgf8b, fgf8a, FGF-8, Xfgf8, Xfgf-8, MGC79739, AIGF)","fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-480983,XB-GENE-478699,ENSXETG00000014474,ENSXETG00000007231,FGF17 (FGF-13),"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000588,fgf19 fgfr1,fgf19,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr1-based-on-Pubmed-ID-16597617,%2022442730-in-frog",fgf19 (fgf-19),"fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-486499,XB-GENE-1018554,ENSXETG00000037561,ENSXETG00000016775,FGF19,"FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000589,fgf19 fgfr2,fgf19,fgfr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr2-based-on-Pubmed-ID-16597617-in-frog,fgf19 (fgf-19),"fgfr2 (xfgfr2, fgfr-2)",XB-GENE-486499,XB-GENE-1018296,ENSXETG00000037561,ENSXETG00000015592,FGF19,"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000590,fgf19 fgfr3,fgf19,fgfr3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr3-based-on-Pubmed-ID-16597617-in-frog,fgf19 (fgf-19),"fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-486499,XB-GENE-479255,ENSXETG00000037561,ENSXETG00000002396,FGF19,"FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000591,fgf19 fgfr4,fgf19,fgfr4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr4-based-on-Pubmed-ID-10525310,%2014730967,%2016597617-in-frog",fgf19 (fgf-19),"fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-486499,XB-GENE-478699,ENSXETG00000037561,ENSXETG00000007231,FGF19,"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000592,fgf19 klb,fgf19,klb,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20klb-based-on-Pubmed-ID-22442730-in-frog,fgf19 (fgf-19),klb (LOC108706569),XB-GENE-486499,XB-GENE-1000443,ENSXETG00000037561,ENSXETG00000012812,FGF19,KLB,secreted,cell membrane
CDB15:0000593,fgf1 cd44,fgf1,cd44,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20cd44-based-on-Pubmed-ID-29812912-in-frog,"fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","cd44 (XCD44, lhr, mc56, mdu2, mdu3, mic4, pgp1, cdw44, cspg8, hcell, mutch-i, ecmr-iii)",XB-GENE-485966,XB-GENE-487547,ENSXETG00000019566,ENSXETG00000007556,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","CD44 (MIC4, MDU2, MDU3, IN, MC56, Pgp1, PGP-1, CD44R, HCELL, CSPG8, Hermes-1, CDw44, HUTCH-1, HUTCH-I, ECM-III, H-CAM)",secreted,cell membrane
CDB15:0000594,fgf1 fgfr1,fgf1,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20fgfr1-based-on-Pubmed-ID-10336501,%2011032250,%2016597617,%2022442730,%2024509440,%208663044,%208756477-in-frog","fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-485966,XB-GENE-1018554,ENSXETG00000019566,ENSXETG00000016775,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000595,fgf1 fgfr2,fgf1,fgfr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20fgfr2-based-on-Pubmed-ID-10618369,%2011069186,%2016597617-in-frog","fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","fgfr2 (xfgfr2, fgfr-2)",XB-GENE-485966,XB-GENE-1018296,ENSXETG00000019566,ENSXETG00000015592,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000596,fgf1 fgfr3,fgf1,fgfr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20fgfr3-based-on-Pubmed-ID-14732692,%2016597617,%2021894939,%2024509440-in-frog","fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-485966,XB-GENE-479255,ENSXETG00000019566,ENSXETG00000002396,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000597,fgf1 fgfr4,fgf1,fgfr4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20fgfr4-based-on-Pubmed-ID-10336501,%2010736564,%2016597617,%2022442730,%208663044-in-frog","fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-485966,XB-GENE-478699,ENSXETG00000019566,ENSXETG00000007231,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000598,fgf1 nrp1,fgf1,nrp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf1%20nrp1-based-on-Pubmed-ID-15695515-in-frog,"fgf1 (fgf-1, acidic fgf, aFGF, HBGF-1)","nrp1 (A5 antigen, np-1, neuropilin-1, nrp, npn-1, nrp-1, neuropilin, pNPG152, LOC108718763)",XB-GENE-485966,XB-GENE-480688,ENSXETG00000019566,ENSXETG00000012629,"FGF1 (FGFA, AFGF, ECGF, ECGFA, ECGFB, HBGF1, ECGF-beta, FGF-alpha, GLIO703)","NRP1 (NRP, VEGF165R, CD304)",secreted,cell membrane
CDB15:0000599,fgf20 fgfr4,fgf20,fgfr4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf20%20fgfr4-based-on-Pubmed-ID-16597617-in-frog,"fgf20 (XFGF-20, xfgf20)","fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-481880,XB-GENE-478699,ENSXETG00000014498,ENSXETG00000007231,FGF20,"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000600,fgf19 fgfr2,fgf19,fgfr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr2-based-on-Pubmed-ID-16597617-in-frog,fgf19 (fgf-19),"fgfr2 (xfgfr2, fgfr-2)",XB-GENE-486499,XB-GENE-1018296,ENSXETG00000037561,ENSXETG00000015592,FGF21,"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000601,fgf19 fgfr4,fgf19,fgfr4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf19%20fgfr4-based-on-Pubmed-ID-16597617-in-frog,fgf19 (fgf-19),"fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-486499,XB-GENE-478699,ENSXETG00000037561,ENSXETG00000007231,FGF21,"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000602,fgf22 fgfr2,fgf22,fgfr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf22%20fgfr2-based-on-Pubmed-ID-16597617-in-frog,fgf22,"fgfr2 (xfgfr2, fgfr-2)",XB-GENE-481152,XB-GENE-1018296,ENSXETG00000034157,ENSXETG00000015592,FGF22,"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000603,fgf23.2 fgfr1,fgf23.2,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf23.2%20fgfr1-based-on-Pubmed-ID-16081635,%2016597617-in-frog",fgf23.2 (fgf23),"fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-482986,XB-GENE-1018554,ENSXETG00000026353,ENSXETG00000016775,FGF23,"FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000604,fgf23.2 fgfr2,fgf23.2,fgfr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf23.2%20fgfr2-based-on-Pubmed-ID-16081635,%2016597617-in-frog",fgf23.2 (fgf23),"fgfr2 (xfgfr2, fgfr-2)",XB-GENE-482986,XB-GENE-1018296,ENSXETG00000026353,ENSXETG00000015592,FGF23,"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000605,fgf23.2 fgfr3,fgf23.2,fgfr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf23.2%20fgfr3-based-on-Pubmed-ID-12032146,%2016081635,%2016597617-in-frog",fgf23.2 (fgf23),"fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-482986,XB-GENE-479255,ENSXETG00000026353,ENSXETG00000002396,FGF23,"FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000606,fgf23.2 fgfr4,fgf23.2,fgfr4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf23.2%20fgfr4-based-on-Pubmed-ID-16081635,%2016597617-in-frog",fgf23.2 (fgf23),"fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-482986,XB-GENE-478699,ENSXETG00000026353,ENSXETG00000007231,FGF23,"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000607,fgf2 cd44,fgf2,cd44,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20cd44-based-on-Pubmed-ID-7532176-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","cd44 (XCD44, lhr, mc56, mdu2, mdu3, mic4, pgp1, cdw44, cspg8, hcell, mutch-i, ecmr-iii)",XB-GENE-487002,XB-GENE-487547,ENSXETG00000001587,ENSXETG00000007556,FGF2 (FGFB),"CD44 (MIC4, MDU2, MDU3, IN, MC56, Pgp1, PGP-1, CD44R, HCELL, CSPG8, Hermes-1, CDw44, HUTCH-1, HUTCH-I, ECM-III, H-CAM)",secreted,cell membrane
CDB15:0000608,fgf2 fgfr1,fgf2,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20fgfr1-based-on-Pubmed-ID-10950949,%2021914781,%2024509440-in-frog","fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-487002,XB-GENE-1018554,ENSXETG00000001587,ENSXETG00000016775,FGF2 (FGFB),"FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000609,fgf2 fgfr2,fgf2,fgfr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20fgfr2-based-on-Pubmed-ID-10950949-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","fgfr2 (xfgfr2, fgfr-2)",XB-GENE-487002,XB-GENE-1018296,ENSXETG00000001587,ENSXETG00000015592,FGF2 (FGFB),"FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000610,fgf2 fgfr3,fgf2,fgfr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20fgfr3-based-on-Pubmed-ID-10574949,%2021894939-in-frog","fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-487002,XB-GENE-479255,ENSXETG00000001587,ENSXETG00000002396,FGF2 (FGFB),"FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
CDB15:0000611,fgf2 fgfr4,fgf2,fgfr4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20fgfr4-based-on-Pubmed-ID-10950949,%208530375-in-frog","fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","fgfr4 (FGF receptor 4, xfgfr4, XFGFR-4a, XFGFR-4, fgfr-4, fgfr4-a, fgfr4-b)",XB-GENE-487002,XB-GENE-478699,ENSXETG00000001587,ENSXETG00000007231,FGF2 (FGFB),"FGFR4 (JTK2, CD334, TKF)",secreted,cell membrane
CDB15:0000612,fgf2 fgfrl1,fgf2,fgfrl1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20fgfrl1-based-on-Pubmed-ID-11418238-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","fgfrl1 (nou-darake, Xndk, XFGFRL1, ndk, fgfrl1-a, fgfrl1-b)",XB-GENE-487002,XB-GENE-482472,ENSXETG00000001587,ENSXETG00000021042,FGF2 (FGFB),FGFRL1 (FGFR5),secreted,cell membrane
CDB15:0000613,fgf2 gpc4,fgf2,gpc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20gpc4-based-on-Pubmed-ID-11066092-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","gpc4 (glypican-4, Xgly4, K-glypican, knypek)",XB-GENE-487002,XB-GENE-976427,ENSXETG00000001587,ENSXETG00000005400,FGF2 (FGFB),GPC4 (K-glypican),secreted,cell membrane
CDB15:0000614,fgf2 nrp1,fgf2,nrp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20nrp1-based-on-Pubmed-ID-15695515-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","nrp1 (A5 antigen, np-1, neuropilin-1, nrp, npn-1, nrp-1, neuropilin, pNPG152, LOC108718763)",XB-GENE-487002,XB-GENE-480688,ENSXETG00000001587,ENSXETG00000012629,FGF2 (FGFB),"NRP1 (NRP, VEGF165R, CD304)",secreted,cell membrane
CDB15:0000615,fgf2 sdc1,fgf2,sdc1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20sdc1-based-on-Pubmed-ID-15226297,%2016982797-in-frog","fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","sdc1 (XSyndecan-1, syndecan1, Syn1, xSyn1, Syndecan-1, LOC108718258)",XB-GENE-487002,XB-GENE-494960,ENSXETG00000001587,ENSXETG00000049205,FGF2 (FGFB),"SDC1 (SDC, CD138, syndecan, SYND1)",secreted,cell membrane
CDB15:0000616,fgf2 sdc2,fgf2,sdc2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20sdc2-based-on-Pubmed-ID-7524669-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","sdc2 (syndecan 2, hspg, hspg1, synd2, syndecan-2, sdc2-a, sdc2-b)",XB-GENE-487002,XB-GENE-6455361,ENSXETG00000001587,ENSXETG00000035467,FGF2 (FGFB),"SDC2 (HSPG, HSPG1, fibroglycan, SYND2, CD362)",secreted,cell membrane
CDB15:0000617,fgf2 sdc3,fgf2,sdc3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20sdc3-based-on-Pubmed-ID-8344959-in-frog,"fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","sdc3 (N-syndecan, Xsyn-3)",XB-GENE-487002,XB-GENE-490747,ENSXETG00000001587,ENSXETG00000007104,FGF2 (FGFB),"SDC3 (N-syndecan, SYND3)",secreted,cell membrane
CDB15:0000618,fgf2 sdc4,fgf2,sdc4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf2%20sdc4-based-on-Pubmed-ID-15226297,%208621465-in-frog","fgf2 (fgf-2, HBGF-2, bfgf, basic fgf, xfgf2)","sdc4 (amphiglycan, ryudocan, syndecan-4, syn4, syn-4, Syndecan4, sdc4-b, sdc4-a)",XB-GENE-487002,XB-GENE-5727116,ENSXETG00000001587,ENSXETG00000022838,FGF2 (FGFB),"SDC4 (SYND4, amphiglycan, ryudocan)",secreted,cell membrane
CDB15:0000619,fgf3 fgfr1,fgf3,fgfr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf3%20fgfr1-based-on-Pubmed-ID-7592624,%208663044-in-frog","fgf3 (fgf-3, xfgf3, INT-2, int-2)","fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-1018517,XB-GENE-1018554,ENSXETG00000048681,ENSXETG00000016775,"FGF3 (INT2, HBGF-3)","FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000620,fgf3 fgfr2,fgf3,fgfr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf3%20fgfr2-based-on-Pubmed-ID-7592624,%208663044-in-frog","fgf3 (fgf-3, xfgf3, INT-2, int-2)","fgfr2 (xfgfr2, fgfr-2)",XB-GENE-1018517,XB-GENE-1018296,ENSXETG00000048681,ENSXETG00000015592,"FGF3 (INT2, HBGF-3)","FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000621,fgf4 fgfr1,fgf4,fgfr1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf4%20fgfr1-based-on-Pubmed-ID-11486033-in-frog,"fgf4 (Xfgf-4, Xfgf4, fgf-4, fgfe, fgf4-b, XEFGF, HBGF-4, efgf, fgf4-a)","fgfr1 (X1FGFR, flt-2, cek, flg, ogd, XFGFR-1, xfgfr1, kal2, bfgfr, fgfr-1, fgfr1-a, fgfr1-b, xfgfra2)",XB-GENE-480496,XB-GENE-1018554,ENSXETG00000037755,ENSXETG00000016775,"FGF4 (HSTF1, K-FGF, HBGF-4, HST, HST-1, KFGF)","FGFR1 (FLT2, KAL2, H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331)",secreted,cell membrane
CDB15:0000622,fgf4 fgfr2,fgf4,fgfr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf4%20fgfr2-based-on-Pubmed-ID-11486033-in-frog,"fgf4 (Xfgf-4, Xfgf4, fgf-4, fgfe, fgf4-b, XEFGF, HBGF-4, efgf, fgf4-a)","fgfr2 (xfgfr2, fgfr-2)",XB-GENE-480496,XB-GENE-1018296,ENSXETG00000037755,ENSXETG00000015592,"FGF4 (HSTF1, K-FGF, HBGF-4, HST, HST-1, KFGF)","FGFR2 (KGFR, BEK, CFD1, JWS, CEK3, TK14, TK25, ECT1, K-SAM, CD332)",secreted,cell membrane
CDB15:0000623,fgf4 fgfr3,fgf4,fgfr3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-fgf4%20fgfr3-based-on-Pubmed-ID-11486033-in-frog,"fgf4 (Xfgf-4, Xfgf4, fgf-4, fgfe, fgf4-b, XEFGF, HBGF-4, efgf, fgf4-a)","fgfr3 (ach, cek2, jtk4, cd333, hsfgfr3ex, fgfr-3)",XB-GENE-480496,XB-GENE-479255,ENSXETG00000037755,ENSXETG00000002396,"FGF4 (HSTF1, K-FGF, HBGF-4, HST, HST-1, KFGF)","FGFR3 (ACH, CEK2, JTK4, CD333)",secreted,cell membrane
